date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:17	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%22679d077e-4d7%22	https://dashboardkit.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:17	857/857	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-359%22	https://dashboardkit.io/assets/js/widgets/support-chart.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/support-chart.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:18	1032/1032	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-408%22	https://dashboardkit.io/assets/js/widgets/support-chart1.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/support-chart1.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:18	1622/1622	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-656%22	https://dashboardkit.io/assets/js/widgets/account-chart-1.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/account-chart-1.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:18	962/962	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e646-3c2%22	https://dashboardkit.io/assets/js/widgets/satisfaction-chart.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/widgets/satisfaction-chart.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:19	27246/27246	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-6a6e%22	https://dashboardkit.io/assets/js/plugins/simplebar.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/simplebar.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:19	20122/20122	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-4e9a%22	https://dashboardkit.io/assets/js/plugins/popper.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/popper.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:20	9274/9274	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-243a%22	https://dashboardkit.io/assets/js/plugins/i18nextHttpBackend.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/i18nextHttpBackend.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:20	48633/48633	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-bdf9%22	https://dashboardkit.io/assets/js/plugins/i18next.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/i18next.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:20	7893/7893	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-1ed5%22	https://dashboardkit.io/assets/js/pcoded.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/pcoded.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:22	5641/5641	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-1609%22	https://dashboardkit.io/assets/js/theme.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/theme.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:22	536991/536991	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-8319f%22	https://dashboardkit.io/assets/js/plugins/apexcharts.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/apexcharts.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:22	967/967	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-3c7%22	https://dashboardkit.io/assets/js/multi-lang.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/multi-lang.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:23	76047/76047	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-1290f%22	https://dashboardkit.io/assets/js/plugins/feather.min.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/plugins/feather.min.js	(from https://dashboardkit.io/dashboard/index.html)
13:03:23	460928/460928	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-70880%22	https://dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.woff	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/phosphor/duotone/Phosphor-Duotone.woff	(from https://dashboardkit.io/assets/fonts/phosphor/duotone/style.css)
13:03:25	88419/88419	---MCZ	200	added ('OK')	application/javascript	etag:W/%226753e645-15963%22	https://dashboardkit.io/assets/js/fonts/custom-font.js	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/js/fonts/custom-font.js	(from https://dashboardkit.io/dashboard/index.html)
